threshold,macro_f1,micro_f1
0.05,0.2877793949920522,0.30042918454935624
0.1,0.3048104143355058,0.3300970873786408
0.15,0.31048329477139264,0.3462532299741602
0.2,0.30917145547624836,0.3548387096774194
0.25,0.31093070872482637,0.3615819209039548
0.3,0.32051845613551605,0.3684210526315789
0.35,0.31321151211712084,0.3652694610778443
0.4,0.3196653093958823,0.3719512195121951
0.45,0.3195068126318126,0.37267080745341613
0.5,0.3241744762117915,0.37735849056603776
0.55,0.32379613780528416,0.3769968051118211
0.6,0.329952545519496,0.3790849673202614
0.65,0.31379364624897016,0.3825503355704698
0.7,0.31820607629431163,0.3877551020408163
0.75,0.3210727086533538,0.3888888888888889
0.8,0.29390847247990104,0.38434163701067614
0.85,0.28402595456835683,0.375
0.9,0.2831216222795657,0.36981132075471695
0.95,0.27606067239835763,0.3686274509803922
